date,country,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,people_fully_vaccinated_per_hundred_2,people_fully_vaccinated_per_hundred_ave,daily_vaccinations_per_million_ave
2020-12-31,Scotland,2.13,0.0,565.0,0.06,0.0033333333333333335,707.26
2020-12-31,World,0.07,0.0,119.0,0.03,0.0033333333333333335,707.26
2021-01-01,Belgium,0.01,0.0,11.0,0.0,0.0033333333333333335,680.8461538461538
2021-01-01,England,1.98,0.02,729.0,0.75,0.0033333333333333335,680.8461538461538
2021-01-01,Europe,0.2,0.0,155.0,0.06,0.0033333333333333335,680.8461538461538
2021-01-01,European Union,0.11,0.0,153.0,0.0,0.0033333333333333335,680.8461538461538
2021-01-01,Germany,0.27,0.0,490.0,0.0,0.0033333333333333335,680.8461538461538
2021-01-01,High income,0.44,0.0,394.0,0.2,0.0033333333333333335,680.8461538461538
2021-01-01,Scotland,2.13,0.0,565.0,0.06,0.0033333333333333335,680.8461538461538
2021-01-01,World,0.07,0.0,120.0,0.03,0.0033333333333333335,680.8461538461538
2021-01-02,Belgium,0.01,0.0,9.0,0.0,0.005,698.4615384615385
2021-01-02,England,2.04,0.03,801.0,0.76,0.005,698.4615384615385
2021-01-02,Europe,0.32,0.0,317.0,0.06,0.005,698.4615384615385
2021-01-02,European Union,0.13,0.0,185.0,0.0,0.005,698.4615384615385
2021-01-02,Germany,0.33,0.0,503.0,0.0,0.005,698.4615384615385
2021-01-02,High income,0.56,0.0,466.0,0.21,0.005,698.4615384615385
2021-01-02,Scotland,2.13,0.0,566.0,0.07,0.005,698.4615384615385
2021-01-02,World,0.1,0.0,145.0,0.03,0.005,698.4615384615385
2021-01-03,England,2.07,0.04,830.0,0.76,0.008,705.4423076923077
2021-01-03,Europe,0.38,0.0,331.0,0.06,0.008,705.4423076923077
2021-01-03,European Union,0.15,0.0,194.0,0.01,0.008,705.4423076923077
2021-01-03,Germany,0.35,0.0,469.0,0.03,0.008,705.4423076923077
2021-01-03,High income,0.61,0.0,479.0,0.21,0.008,705.4423076923077
2021-01-03,Scotland,2.14,0.0,562.0,0.07,0.008,705.4423076923077
2021-01-03,World,0.11,0.0,147.0,0.03,0.008,705.4423076923077
2021-01-04,Asia,0.03,0.0,121.0,0.02,0.005555555555555556,739.4423076923077
2021-01-04,Belgium,0.01,0.0,7.0,0.0,0.005555555555555556,739.4423076923077
2021-01-04,Denmark,0.91,0.0,1101.0,0.05,0.005555555555555556,739.4423076923077
2021-01-04,England,2.12,0.05,877.0,0.77,0.005555555555555556,739.4423076923077
2021-01-04,Europe,0.42,0.0,376.0,0.07,0.005555555555555556,739.4423076923077
2021-01-04,European Union,0.21,0.0,270.0,0.02,0.005555555555555556,739.4423076923077
2021-01-04,Germany,0.41,0.0,518.0,0.05,0.005555555555555556,739.4423076923077
2021-01-04,High income,0.67,0.0,527.0,0.23,0.005555555555555556,739.4423076923077
2021-01-04,Israel,16.57,0.0,15035.0,5.23,0.005555555555555556,739.4423076923077
2021-01-04,Scotland,2.17,0.0,559.0,0.07,0.005555555555555556,739.4423076923077
2021-01-04,World,0.12,0.0,156.0,0.04,0.005555555555555556,739.4423076923077
2021-01-05,Asia,0.04,0.0,145.0,0.02,0.017777777777777778,770.4629629629629
2021-01-05,Belgium,0.02,0.0,28.0,0.01,0.017777777777777778,770.4629629629629
2021-01-05,Denmark,1.14,0.0,1209.0,0.08,0.017777777777777778,770.4629629629629
2021-01-05,England,2.22,0.14,907.0,0.77,0.017777777777777778,770.4629629629629
2021-01-05,Europe,0.46,0.0,418.0,0.08,0.017777777777777778,770.4629629629629
2021-01-05,European Union,0.28,0.0,340.0,0.03,0.017777777777777778,770.4629629629629
2021-01-05,Germany,0.47,0.0,522.0,0.09,0.017777777777777778,770.4629629629629
2021-01-05,High income,0.73,0.0,674.0,0.28,0.017777777777777778,770.4629629629629
2021-01-05,Israel,18.01,0.0,14522.0,6.82,0.017777777777777778,770.4629629629629
2021-01-05,Scotland,2.33,0.02,587.0,0.08,0.017777777777777778,770.4629629629629
2021-01-05,World,0.13,0.0,179.0,0.05,0.017777777777777778,770.4629629629629
2021-01-06,Asia,0.04,0.0,148.0,0.02,0.02666666666666667,799.0363636363636
2021-01-06,Belgium,0.06,0.0,70.0,0.01,0.02666666666666667,799.0363636363636
2021-01-06,Canada,0.48,0.0,376.0,0.1,0.02666666666666667,799.0363636363636
2021-01-06,Denmark,1.47,0.0,1405.0,0.11,0.02666666666666667,799.0363636363636
2021-01-06,England,2.38,0.28,855.0,0.78,0.02666666666666667,799.0363636363636
2021-01-06,Europe,0.49,0.0,439.0,0.1,0.02666666666666667,799.0363636363636
2021-01-06,European Union,0.33,0.0,374.0,0.06,0.02666666666666667,799.0363636363636
2021-01-06,Germany,0.55,0.0,523.0,0.15,0.02666666666666667,799.0363636363636
2021-01-06,High income,0.8,0.0,676.0,0.31,0.02666666666666667,799.0363636363636
2021-01-06,Israel,19.2,0.0,13702.0,8.48,0.02666666666666667,799.0363636363636
2021-01-06,Latvia,0.25,0.0,179.0,0.11,0.02666666666666667,799.0363636363636
2021-01-06,North America,0.94,0.0,637.0,0.37,0.02666666666666667,799.0363636363636
2021-01-06,Scotland,2.51,0.04,645.0,0.08,0.02666666666666667,799.0363636363636
2021-01-06,World,0.14,0.0,180.0,0.05,0.02666666666666667,799.0363636363636
2021-01-07,Asia,0.04,0.0,57.0,0.02,0.03833333333333333,900.3333333333334
2021-01-07,Belgium,0.13,0.0,172.0,0.01,0.03833333333333333,900.3333333333334
2021-01-07,Canada,0.58,0.0,461.0,0.11,0.03833333333333333,900.3333333333334
2021-01-07,Denmark,1.76,0.0,1676.0,0.15,0.03833333333333333,900.3333333333334
2021-01-07,England,2.74,0.42,1142.0,0.78,0.03833333333333333,900.3333333333334
2021-01-07,Europe,0.54,0.0,493.0,0.11,0.03833333333333333,900.3333333333334
2021-01-07,European Union,0.42,0.0,463.0,0.09,0.03833333333333333,900.3333333333334
2021-01-07,Germany,0.61,0.0,529.0,0.2,0.03833333333333333,900.3333333333334
2021-01-07,High income,0.89,0.0,782.0,0.35,0.03833333333333333,900.3333333333334
2021-01-07,Israel,20.54,0.0,13003.0,10.37,0.03833333333333333,900.3333333333334
2021-01-07,Latvia,0.29,0.0,230.0,0.11,0.03833333333333333,900.3333333333334
2021-01-07,North America,1.05,0.0,792.0,0.41,0.03833333333333333,900.3333333333334
2021-01-07,Scotland,2.7,0.04,818.0,0.09,0.03833333333333333,900.3333333333334
2021-01-07,World,0.16,0.0,141.0,0.06,0.03833333333333333,900.3333333333334
2021-01-08,Asia,0.04,0.0,58.0,0.03,0.04538461538461539,1012.1578947368421
2021-01-08,Belgium,0.21,0.0,287.0,0.01,0.04538461538461539,1012.1578947368421
2021-01-08,Canada,0.69,0.01,594.0,0.13,0.04538461538461539,1012.1578947368421
2021-01-08,Denmark,1.9,0.0,1821.0,0.25,0.04538461538461539,1012.1578947368421
2021-01-08,England,3.18,0.53,1714.0,0.78,0.04538461538461539,1012.1578947368421
2021-01-08,Europe,0.59,0.0,557.0,0.13,0.04538461538461539,1012.1578947368421
2021-01-08,European Union,0.5,0.0,568.0,0.11,0.04538461538461539,1012.1578947368421
2021-01-08,Germany,0.68,0.0,591.0,0.24,0.04538461538461539,1012.1578947368421
2021-01-08,High income,0.99,0.0,916.0,0.39,0.04538461538461539,1012.1578947368421
2021-01-08,Israel,21.31,0.0,12922.0,11.19,0.04538461538461539,1012.1578947368421
2021-01-08,Latvia,0.34,0.0,288.0,0.12,0.04538461538461539,1012.1578947368421
2021-01-08,North America,1.19,0.0,990.0,0.48,0.04538461538461539,1012.1578947368421
2021-01-08,Scotland,2.91,0.05,1116.0,0.09,0.04538461538461539,1012.1578947368421
2021-01-08,Slovenia,1.44,0.0,1272.0,0.49,0.04538461538461539,1012.1578947368421
2021-01-08,World,0.17,0.0,165.0,0.06,0.04538461538461539,1012.1578947368421
2021-01-09,Asia,0.04,0.0,200.0,0.03,0.0009090909090909091,1054.9827586206898
2021-01-09,Belgium,0.24,0.0,327.0,0.01,0.0009090909090909091,1054.9827586206898
2021-01-09,Canada,0.78,0.01,710.0,0.14,0.0009090909090909091,1054.9827586206898
2021-01-09,Denmark,1.93,0.0,1658.0,0.37,0.0009090909090909091,1054.9827586206898
2021-01-09,Europe,0.62,0.0,432.0,0.14,0.0009090909090909091,1054.9827586206898
2021-01-09,European Union,0.54,0.0,598.0,0.13,0.0009090909090909091,1054.9827586206898
2021-01-09,Germany,0.76,0.0,611.0,0.3,0.0009090909090909091,1054.9827586206898
2021-01-09,High income,1.01,0.0,779.0,0.43,0.0009090909090909091,1054.9827586206898
2021-01-09,Israel,21.82,0.0,12474.0,11.81,0.0009090909090909091,1054.9827586206898
2021-01-09,Latvia,0.35,0.0,301.0,0.12,0.0009090909090909091,1054.9827586206898
2021-01-09,North America,1.19,0.0,654.0,0.52,0.0009090909090909091,1054.9827586206898
2021-01-09,Slovenia,1.46,0.0,1262.0,0.51,0.0009090909090909091,1054.9827586206898
2021-01-09,World,0.18,0.0,211.0,0.07,0.0009090909090909091,1054.9827586206898
2021-01-10,Asia,0.06,0.01,199.0,0.03,0.26166666666666666,1130.6333333333334
2021-01-10,Belgium,0.24,0.0,332.0,0.01,0.26166666666666666,1130.6333333333334
2021-01-10,Canada,0.84,0.01,778.0,0.15,0.26166666666666666,1130.6333333333334
2021-01-10,Denmark,1.95,0.0,1536.0,0.48,0.26166666666666666,1130.6333333333334
2021-01-10,England,3.48,0.67,2970.0,0.78,0.26166666666666666,1130.6333333333334
2021-01-10,Europe,0.77,0.05,634.0,0.15,0.26166666666666666,1130.6333333333334
2021-01-10,European Union,0.59,0.0,641.0,0.15,0.26166666666666666,1130.6333333333334
2021-01-10,Germany,0.8,0.0,632.0,0.33,0.26166666666666666,1130.6333333333334
2021-01-10,High income,1.17,0.05,897.0,0.46,0.26166666666666666,1130.6333333333334
2021-01-10,Israel,22.25,0.07,10726.0,13.43,0.26166666666666666,1130.6333333333334
2021-01-10,North America,1.2,0.0,659.0,0.56,0.26166666666666666,1130.6333333333334
2021-01-10,Northern Ireland,4.12,0.74,3868.0,1.2,0.26166666666666666,1130.6333333333334
2021-01-10,Scotland,2.99,0.05,1289.0,0.1,0.26166666666666666,1130.6333333333334
2021-01-10,Slovenia,1.46,0.0,1224.0,0.52,0.26166666666666666,1130.6333333333334
2021-01-10,United Kingdom,3.37,0.58,2731.0,0.69,0.26166666666666666,1130.6333333333334
2021-01-10,Wales,2.73,0.0,1602.0,0.02,0.26166666666666666,1130.6333333333334
2021-01-10,World,0.2,0.01,231.0,0.08,0.26166666666666666,1130.6333333333334
2021-01-11,Asia,0.06,0.01,198.0,0.03,0.1411111111111111,1735.5846153846153
2021-01-11,Belgium,0.29,0.0,401.0,0.01,0.1411111111111111,1735.5846153846153
2021-01-11,Canada,0.94,0.01,838.0,0.17,0.1411111111111111,1735.5846153846153
2021-01-11,Denmark,1.96,0.0,1494.0,0.52,0.1411111111111111,1735.5846153846153
2021-01-11,England,3.7,0.7,3256.0,0.79,0.1411111111111111,1735.5846153846153
2021-01-11,Estonia,0.89,0.0,926.0,0.23,0.1411111111111111,1735.5846153846153
2021-01-11,Europe,0.84,0.06,698.0,0.18,0.1411111111111111,1735.5846153846153
2021-01-11,European Union,0.68,0.0,694.0,0.2,0.1411111111111111,1735.5846153846153
2021-01-11,Germany,0.88,0.0,667.0,0.37,0.1411111111111111,1735.5846153846153
2021-01-11,High income,1.4,0.05,1155.0,0.5,0.1411111111111111,1735.5846153846153
2021-01-11,Israel,22.5,0.29,8884.0,15.04,0.1411111111111111,1735.5846153846153
2021-01-11,Latvia,0.44,0.0,409.0,0.15,0.1411111111111111,1735.5846153846153
2021-01-11,North America,1.59,0.0,1133.0,0.58,0.1411111111111111,1735.5846153846153
2021-01-11,Northern Ireland,4.45,0.81,3882.0,1.2,0.1411111111111111,1735.5846153846153
2021-01-11,Scotland,3.22,0.05,1578.0,0.11,0.1411111111111111,1735.5846153846153
2021-01-11,Slovenia,1.48,0.0,1182.0,0.52,0.1411111111111111,1735.5846153846153
2021-01-11,United Kingdom,3.58,0.61,2689.0,0.7,0.1411111111111111,1735.5846153846153
2021-01-11,Wales,2.89,0.0,1610.0,0.02,0.1411111111111111,1735.5846153846153
2021-01-11,World,0.24,0.01,272.0,0.08,0.1411111111111111,1735.5846153846153
2021-01-12,Asia,0.06,0.01,174.0,0.04,0.1733333333333333,1760.469696969697
2021-01-12,Belgium,0.43,0.0,576.0,0.03,0.1733333333333333,1760.469696969697
2021-01-12,Canada,1.02,0.01,883.0,0.19,0.1733333333333333,1760.469696969697
2021-01-12,Denmark,1.97,0.0,1183.0,0.55,0.1733333333333333,1760.469696969697
2021-01-12,England,4.01,0.72,3584.0,0.79,0.1733333333333333,1760.469696969697
2021-01-12,Estonia,1.01,0.0,902.0,0.36,0.1733333333333333,1760.469696969697
2021-01-12,Europe,0.93,0.06,770.0,0.22,0.1733333333333333,1760.469696969697
2021-01-12,European Union,0.79,0.0,743.0,0.26,0.1733333333333333,1760.469696969697
2021-01-12,Germany,0.97,0.0,717.0,0.43,0.1733333333333333,1760.469696969697
2021-01-12,High income,1.49,0.06,1118.0,0.54,0.1733333333333333,1760.469696969697
2021-01-12,Israel,22.77,0.7,7807.0,16.5,0.1733333333333333,1760.469696969697
2021-01-12,Latvia,0.53,0.0,464.0,0.19,0.1733333333333333,1760.469696969697
2021-01-12,North America,1.66,0.0,1152.0,0.61,0.1733333333333333,1760.469696969697
2021-01-12,Northern Ireland,4.83,0.94,4068.0,1.21,0.1733333333333333,1760.469696969697
2021-01-12,Scotland,3.51,0.05,1776.0,0.12,0.1733333333333333,1760.469696969697
2021-01-12,Slovenia,1.57,0.0,1141.0,0.6,0.1733333333333333,1760.469696969697
2021-01-12,United Kingdom,3.89,0.63,2770.0,0.7,0.1733333333333333,1760.469696969697
2021-01-12,Wales,3.22,0.0,1841.0,0.02,0.1733333333333333,1760.469696969697
2021-01-12,World,0.25,0.01,266.0,0.09,0.1733333333333333,1760.469696969697
2021-01-13,Asia,0.06,0.01,204.0,0.04,0.196,1782.4264705882354
2021-01-13,Belgium,0.61,0.0,795.0,0.06,0.196,1782.4264705882354
2021-01-13,Canada,1.08,0.03,893.0,0.22,0.196,1782.4264705882354
2021-01-13,Chile,0.06,0.01,8.0,0.05,0.196,1782.4264705882354
2021-01-13,Denmark,2.18,0.0,1022.0,0.63,0.196,1782.4264705882354
2021-01-13,England,4.43,0.74,3986.0,0.79,0.196,1782.4264705882354
2021-01-13,Estonia,1.11,0.0,878.0,0.47,0.196,1782.4264705882354
2021-01-13,Europe,1.07,0.06,929.0,0.25,0.196,1782.4264705882354
2021-01-13,European Union,0.91,0.0,853.0,0.31,0.196,1782.4264705882354
2021-01-13,Germany,1.11,0.0,801.0,0.5,0.196,1782.4264705882354
2021-01-13,High income,1.56,0.07,1243.0,0.6,0.196,1782.4264705882354
2021-01-13,Israel,23.37,1.36,7900.0,17.94,0.196,1782.4264705882354
2021-01-13,Latvia,0.61,0.0,521.0,0.23,0.196,1782.4264705882354
2021-01-13,North America,1.68,0.0,1292.0,0.66,0.196,1782.4264705882354
2021-01-13,Northern Ireland,5.42,1.0,4455.0,1.26,0.196,1782.4264705882354
2021-01-13,Scotland,3.81,0.06,1948.0,0.12,0.196,1782.4264705882354
2021-01-13,Slovenia,1.79,0.0,1097.0,0.83,0.196,1782.4264705882354
2021-01-13,South America,0.0,0.0,43.0,0.01,0.196,1782.4264705882354
2021-01-13,United Kingdom,4.3,0.65,2988.0,0.7,0.196,1782.4264705882354
2021-01-13,Wales,3.58,0.0,2138.0,0.02,0.196,1782.4264705882354
2021-01-13,World,0.27,0.01,311.0,0.1,0.196,1782.4264705882354
2021-01-14,Asia,0.07,0.01,215.0,0.04,0.2571428571428572,1885.4927536231885
2021-01-14,Belgium,0.81,0.0,981.0,0.12,0.2571428571428572,1885.4927536231885
2021-01-14,Canada,1.18,0.04,909.0,0.24,0.2571428571428572,1885.4927536231885
2021-01-14,Chile,0.07,0.03,59.0,0.05,0.2571428571428572,1885.4927536231885
2021-01-14,Denmark,2.49,0.0,1038.0,0.76,0.2571428571428572,1885.4927536231885
2021-01-14,England,4.92,0.75,4180.0,0.79,0.2571428571428572,1885.4927536231885
2021-01-14,Estonia,1.25,0.0,926.0,0.58,0.2571428571428572,1885.4927536231885
2021-01-14,Europe,1.18,0.06,1019.0,0.3,0.2571428571428572,1885.4927536231885
2021-01-14,European Union,1.02,0.0,898.0,0.38,0.2571428571428572,1885.4927536231885
2021-01-14,Germany,1.2,0.0,848.0,0.55,0.2571428571428572,1885.4927536231885
2021-01-14,High income,1.67,0.18,1335.0,0.67,0.2571428571428572,1885.4927536231885
2021-01-14,Israel,24.02,2.15,8052.0,19.44,0.2571428571428572,1885.4927536231885
2021-01-14,Latvia,0.71,0.0,597.0,0.27,0.2571428571428572,1885.4927536231885
2021-01-14,North America,1.77,0.23,1387.0,0.74,0.2571428571428572,1885.4927536231885
2021-01-14,Northern Ireland,6.05,1.02,4817.0,1.27,0.2571428571428572,1885.4927536231885
2021-01-14,Scotland,4.12,0.06,2103.0,0.13,0.2571428571428572,1885.4927536231885
2021-01-14,Slovenia,2.12,0.0,1183.0,1.1,0.2571428571428572,1885.4927536231885
2021-01-14,South America,0.0,0.0,45.0,0.01,0.2571428571428572,1885.4927536231885
2021-01-14,United Kingdom,4.77,0.65,3275.0,0.7,0.2571428571428572,1885.4927536231885
2021-01-14,United States,2.9,0.4,2234.0,1.27,0.2571428571428572,1885.4927536231885
2021-01-14,Wales,4.01,0.0,2516.0,0.02,0.2571428571428572,1885.4927536231885
2021-01-14,World,0.29,0.03,334.0,0.11,0.2571428571428572,1885.4927536231885
2021-01-15,Asia,0.07,0.01,228.0,0.04,0.2608695652173913,1960.0714285714287
2021-01-15,Belgium,1.02,0.0,1157.0,0.2,0.2608695652173913,1960.0714285714287
2021-01-15,Canada,1.3,0.05,935.0,0.27,0.2608695652173913,1960.0714285714287
2021-01-15,Chile,0.07,0.04,85.0,0.05,0.2608695652173913,1960.0714285714287
2021-01-15,Denmark,2.74,0.0,1204.0,1.08,0.2608695652173913,1960.0714285714287
2021-01-15,England,5.49,0.75,4370.0,0.8,0.2608695652173913,1960.0714285714287
2021-01-15,Estonia,1.34,0.0,825.0,0.73,0.2608695652173913,1960.0714285714287
2021-01-15,Europe,1.3,0.06,1112.0,0.33,0.2608695652173913,1960.0714285714287
2021-01-15,European Union,1.14,0.0,945.0,0.45,0.2608695652173913,1960.0714285714287
2021-01-15,Germany,1.31,0.0,896.0,0.62,0.2608695652173913,1960.0714285714287
2021-01-15,High income,1.81,0.2,1443.0,0.74,0.2608695652173913,1960.0714285714287
2021-01-15,Israel,24.38,2.57,8056.0,20.19,0.2608695652173913,1960.0714285714287
2021-01-15,Latvia,0.81,0.0,671.0,0.32,0.2608695652173913,1960.0714285714287
2021-01-15,Mexico,0.32,0.0,388.0,0.02,0.2608695652173913,1960.0714285714287
2021-01-15,North America,1.95,0.28,1497.0,0.83,0.2608695652173913,1960.0714285714287
2021-01-15,Northern Ireland,6.23,1.03,4532.0,1.28,0.2608695652173913,1960.0714285714287
2021-01-15,Scotland,4.43,0.06,2256.0,0.14,0.2608695652173913,1960.0714285714287
2021-01-15,Slovenia,2.35,0.01,1299.0,1.3,0.2608695652173913,1960.0714285714287
2021-01-15,South America,0.0,0.0,35.0,0.02,0.2608695652173913,1960.0714285714287
2021-01-15,United Kingdom,5.27,0.66,3612.0,0.71,0.2608695652173913,1960.0714285714287
2021-01-15,United States,3.17,0.48,2388.0,1.43,0.2608695652173913,1960.0714285714287
2021-01-15,Upper middle income,0.06,0.0,365.0,0.0,0.2608695652173913,1960.0714285714287
2021-01-15,World,0.31,0.03,358.0,0.12,0.2608695652173913,1960.0714285714287
2021-01-16,Asia,0.07,0.01,101.0,0.04,0.23520000000000002,1978.7042253521126
2021-01-16,Austria,1.22,0.0,1287.0,0.23,0.23520000000000002,1978.7042253521126
2021-01-16,Belgium,1.06,0.0,1181.0,0.23,0.23520000000000002,1978.7042253521126
2021-01-16,Canada,1.39,0.05,935.0,0.29,0.23520000000000002,1978.7042253521126
2021-01-16,Chile,0.07,0.04,86.0,0.05,0.23520000000000002,1978.7042253521126
2021-01-16,Czechia,1.11,0.0,946.0,0.36,0.23520000000000002,1978.7042253521126
2021-01-16,Denmark,2.82,0.0,1269.0,1.29,0.23520000000000002,1978.7042253521126
2021-01-16,England,5.98,0.76,4387.0,0.81,0.23520000000000002,1978.7042253521126
2021-01-16,Estonia,1.36,0.0,789.0,0.77,0.23520000000000002,1978.7042253521126
2021-01-16,Europe,1.37,0.06,1174.0,0.37,0.23520000000000002,1978.7042253521126
2021-01-16,European Union,1.19,0.0,951.0,0.5,0.23520000000000002,1978.7042253521126
2021-01-16,France,0.64,0.0,714.0,0.07,0.23520000000000002,1978.7042253521126
2021-01-16,Germany,1.38,0.0,892.0,0.68,0.23520000000000002,1978.7042253521126
2021-01-16,Greece,0.77,0.0,548.0,0.37,0.23520000000000002,1978.7042253521126
2021-01-16,High income,1.86,0.21,1495.0,0.81,0.23520000000000002,1978.7042253521126
2021-01-16,Israel,24.72,2.87,8235.0,20.68,0.23520000000000002,1978.7042253521126
2021-01-16,Latvia,0.84,0.0,698.0,0.34,0.23520000000000002,1978.7042253521126
2021-01-16,Mexico,0.36,0.0,430.0,0.03,0.23520000000000002,1978.7042253521126
2021-01-16,North America,1.96,0.28,1506.0,0.91,0.23520000000000002,1978.7042253521126
2021-01-16,Northern Ireland,6.36,1.07,4219.0,1.28,0.23520000000000002,1978.7042253521126
2021-01-16,Portugal,1.28,0.0,790.0,0.66,0.23520000000000002,1978.7042253521126
2021-01-16,Scotland,4.76,0.07,2645.0,0.14,0.23520000000000002,1978.7042253521126
2021-01-16,Slovenia,2.36,0.01,1304.0,1.3,0.23520000000000002,1978.7042253521126
2021-01-16,South America,0.0,0.0,35.0,0.02,0.23520000000000002,1978.7042253521126
2021-01-16,United Kingdom,5.7,0.66,3851.0,0.72,0.23520000000000002,1978.7042253521126
2021-01-16,Upper middle income,0.06,0.0,129.0,0.01,0.23520000000000002,1978.7042253521126
2021-01-16,World,0.32,0.03,290.0,0.13,0.23520000000000002,1978.7042253521126
2021-01-17,Asia,0.07,0.01,107.0,0.05,0.22,1937.7222222222222
2021-01-17,Austria,1.28,0.0,1342.0,0.25,0.22,1937.7222222222222
2021-01-17,Belgium,1.09,0.0,1216.0,0.23,0.22,1937.7222222222222
2021-01-17,Canada,1.46,0.05,951.0,0.3,0.22,1937.7222222222222
2021-01-17,Chile,0.07,0.04,86.0,0.05,0.22,1937.7222222222222
2021-01-17,Czechia,1.13,0.01,966.0,0.37,0.22,1937.7222222222222
2021-01-17,Denmark,2.86,0.01,1325.0,1.5,0.22,1937.7222222222222
2021-01-17,England,6.25,0.76,4096.0,0.82,0.22,1937.7222222222222
2021-01-17,Estonia,1.36,0.01,776.0,0.79,0.22,1937.7222222222222
2021-01-17,Europe,1.42,0.06,975.0,0.41,0.22,1937.7222222222222
2021-01-17,European Union,1.24,0.01,972.0,0.57,0.22,1937.7222222222222
2021-01-17,France,0.66,0.0,724.0,0.07,0.22,1937.7222222222222
2021-01-17,Germany,1.41,0.03,916.0,0.72,0.22,1937.7222222222222
2021-01-17,High income,1.9,0.21,1391.0,0.86,0.22,1937.7222222222222
2021-01-17,Israel,25.51,3.84,10037.0,21.37,0.22,1937.7222222222222
2021-01-17,Italy,2.01,0.0,1287.0,1.06,0.22,1937.7222222222222
2021-01-17,Latvia,0.85,0.0,682.0,0.35,0.22,1937.7222222222222
